도서명	저자	출판사	출판일	가격
소프트웨어 아키텍처 The Basics	마크 리처즈, 닐 포드, 류광, 307번역랩	한빛미디어	2025년 11월	38,700
요즘 바이브 코딩 깃허브 코파일럿 31가지 프로그램 만들기	박현규	골든래빗	2025년 12월	21,600
연필과 종이로 풀어보는 AI 딥러닝 수학 워크북 214제	톰 예	아티오	2025년 12월	17,100
그림으로 이해하는 도커와 쿠버네티스	토쿠나가 코헤이, 서수환	길벗	2025년 11월	19,800
학교 업무가 쉬워지는 구글 스프레드시트 실전 가이드북	김동호, 민동수, 박준택, 오보람, 윤수진, 정보 더 보기/감추기, 김동호, 민동수, 박준택, 오보람, 윤수진, 나혜진	씨마스21	2026년 01월	19,800
써니쌤과 함께 처음 시작하는 SNS 디자인 캔바	써니쌤 강성은	시원북스	2025년 10월	17,820
챗GPT는 거들 뿐, 생기부는 내가 쓴다	장승아, 조원정	위키북스	2025년 09월	14,400
기술·가정 교사가 만든 기술·가정 교사를 위한 찐 실전 챗GPT (생성형 AI (에듀테크) 기술·가정 수업 활용하기!)	봉우리, 이호준, 윤지원, 김보정	광문각출판미디어	2025년 08월	17,000
나는 CODAP으로 데이터 분석한다	최정원, 류현욱, 박근영, 박예람, 유동호, 정보 더 보기/감추기, 최정원, 류현욱, 박근영, 박예람, 유동호, 유하연, 이완범, 이원경, 이지현, 최희진, 허영주	씨마스	2025년 06월	22,500
회사에서 바로 통하는 실무 엑셀	한은숙	한빛미디어	2025년 06월	20,700
처음이야? 파이썬 기초	윤영빈, 오환, 이용희	영진닷컴	2025년 06월	18,000
2022 개정과 IB 교육 철학을 적용한 초등 개념기반 탐구수업•서술형평가 설계와 실천	진경오	앤써북	2025년 05월	18,900
현직 교사가 만든 업무자동화를 원하는 교사를 위한 찐 실전 챗GPT GPTs·미조우·제미나이 - 챗봇 만들기 생성형 AI 챗봇으로 수업 업무 박살 내기!	김요섭, 허영주, 조래정, 정재우	광문각출판미디어	2025년 04월	15,000
M365 코파일럿 무작정 따라하기	김시연, 서지영	길벗	2025년 04월	19,800
공여사들의 엑셀 혁명 with 챗GPT	공여사들	한빛미디어	2025년 03월	18,900
교사를 위한 패들렛 Padlet	안익재	앤써북	2025년 03월	15,120
도덕적인 AI	월터 시넛 암스트롱, 재나 셰익 보그, 빈센트 코니처, 박초월	김영사	2025년 01월	19,800
머신비전 비밀노트	㈜앤비젼	바른북스	2024년 10월	21,600
NEW 우당탕탕 한글 2020/2022로 문서만들기	교재개발팀	마린북스	2024년 08월	12,600
AI를 위한 필수 수학	할라 넬슨, 안민재	한빛미디어	2024년 08월	40,500
2022 개정 교육과정 평가, AI로 날개를 달다 (개념기반 교육과정)	지미정, 오한나, 노명호, 권의선, 김영수, 정보 더 보기/감추기, 지미정, 오한나, 노명호, 권의선, 김영수, 이진원, 장희영, 소민영, 조보현	앤써북	2024년 09월	18,900
Do it! 5일 만에 끝내는 깃&깃허브 입문	고경희, 이고잉	이지스퍼블리싱	2024년 08월	16,200
